File Name,Supplier Name,Invoice Number,Invoice Date,SIRET,Echeance,Invoice Content,TVA Percentage,TVA Amount,Total Amount,Payment Status,Solde du,Notes
FR_invoice_img_synth_038.png,Fernandes SAS,FC-2026-8483,28/01/2026,52773407274964,16/03/2026,Nettoyage de locaux; Maintenance annuelle; Création graphique; Formation professionnelle; Fourniture de matériel,20,7347.82,44086.91,UNPAID,44086.91,synthetic
FR_invoice_img_synth_039.png,Chrétien SA,FC-2025-6662,23/10/2025,35695182703310,16/07/2026,Création graphique; Rédaction de contenu,20,6159.39,36956.33,UNPAID,36956.33,synthetic
FR_invoice_img_synth_040.png,Denis SARL,FC-2026-6072,04/03/2026,98325794903322,04/03/2026,Rédaction de contenu; Fourniture de matériel; Formation professionnelle; Audit de sécurité; Transport de marchandises,20,15148.34,90890.04,UNPAID,90890.04,synthetic
FR_invoice_img_synth_041.png,Fernandez SARL,FAC-2026-5822,18/05/2026,36766194482826,12/07/2026,Installation réseau; Location d'équipement; Développement logiciel; Support technique,20,9206.05,55236.29,PAID,,synthetic
FR_invoice_img_synth_042.png,Marie SARL,FC-2024-7576,20/10/2024,35793986171936,22/07/2025,Hébergement web; Prestation de conseil; Installation réseau; Audit de sécurité; Maintenance annuelle; Hébergement web,20,1503.76,9022.57,UNPAID,9022.57,synthetic
FR_invoice_img_synth_043.png,Vaillant SCI,F-2024-0807,23/09/2024,53396405716789,07/08/2025,Installation réseau; Développement logiciel,10,275.13,3026.39,PAID,,synthetic
FR_invoice_img_synth_044.png,Hernandez SA,FAC-2024-7672,28/08/2024,18723011171188,31/01/2025,Location d'équipement; Licence logicielle; Support technique,10,5209.03,57299.35,UNPAID,57299.35,synthetic
FR_invoice_img_synth_045.png,Dupont SARL,F-2024-4350,03/08/2024,39064108098336,05/02/2025,Support technique; Audit de sécurité; Location d'équipement,10,2619.72,28816.94,PAID,,synthetic
FR_invoice_img_synth_046.png,Moulin SAS,FAC-2024-1980,14/06/2024,22192415805286,14/01/2025,Audit de sécurité; Location d'équipement; Hébergement web,20,5319.94,31919.64,UNPAID,31919.64,synthetic
FR_invoice_img_synth_047.png,Joubert SCI,F-2024-7535,29/08/2024,65810625567484,21/06/2025,Développement logiciel; Audit de sécurité; Support technique; Transport de marchandises,20,7688.55,46131.28,PAID,,synthetic
FR_invoice_img_synth_048.png,Ferreira SARL,FC-2025-8567,21/06/2025,10871081165856,17/08/2025,Installation réseau; Hébergement web; Formation professionnelle; Rédaction de contenu,20,8293.47,49760.80,UNPAID,49760.80,synthetic
FR_invoice_img_synth_049.png,Philippe SAS,FC-2025-0664,15/07/2025,68993956596518,23/05/2026,Formation professionnelle; Hébergement web; Rédaction de contenu,5.5,4387.83,84166.63,PAID,,synthetic
FR_invoice_img_synth_050.png,Menard SAS,FAC-2024-8879,03/07/2024,83712214575260,24/01/2026,Rédaction de contenu; Maintenance annuelle; Hébergement web; Maintenance annuelle,10,4966.66,54633.29,UNPAID,54633.29,synthetic
FR_invoice_img_synth_051.png,Lemonnier SASU,FAC-2026-2620,23/04/2026,39127927225427,31/05/2026,Formation professionnelle; Transport de marchandises; Installation réseau,20,7769.40,46616.38,PAID,,synthetic
FR_invoice_img_synth_052.png,Pons EURL,F-2025-6691,04/12/2025,96884892068748,30/05/2026,Location d'équipement; Prestation de conseil,10,4294.16,47235.77,UNPAID,47235.77,synthetic
FR_invoice_img_synth_053.png,Garcia SARL,FC-2024-6030,04/10/2024,24857782537479,25/05/2025,Licence logicielle; Nettoyage de locaux; Fourniture de matériel; Fourniture de matériel; Rédaction de contenu; Fourniture de matériel,5.5,5875.24,112697.87,PAID,,synthetic
FR_invoice_img_synth_054.png,De Oliveira EURL,F-2025-2012,19/04/2025,85780346415082,16/05/2026,Fourniture de matériel; Audit de sécurité; Audit de sécurité; Création graphique,5.5,6445.62,123638.70,UNPAID,123638.70,synthetic
FR_invoice_img_synth_055.png,Benard SA,FC-2024-4023,15/09/2024,87118277362870,01/08/2026,Licence logicielle; Création graphique,20,5686.17,34117.03,PAID,,synthetic
FR_invoice_img_synth_056.png,Perrot SA,F-2024-8390,29/07/2024,05236138649621,05/08/2025,Installation réseau; Location d'équipement; Audit de sécurité,20,1712.30,10273.80,UNPAID,10273.80,synthetic
FR_invoice_img_synth_057.png,Marie SARL,FC-2026-0507,28/01/2026,80907135894439,12/02/2026,Support technique; Formation professionnelle; Fourniture de matériel; Nettoyage de locaux,5.5,1768.05,33914.42,PAID,,synthetic
FR_invoice_img_synth_058.png,Costa EURL,FC-2024-2383,07/06/2024,96431721699797,24/02/2026,Fourniture de matériel; Hébergement web; Audit de sécurité; Transport de marchandises,20,19812.44,118874.65,PAID,,synthetic
FR_invoice_img_synth_059.png,Lebrun SA,FAC-2024-3398,23/05/2024,91890763201415,11/12/2025,Hébergement web; Fourniture de matériel,5.5,900.35,17270.33,UNPAID,17270.33,synthetic
FR_invoice_img_synth_060.png,Riou SASU,F-2024-7818,11/10/2024,02179177276266,17/11/2024,Création graphique; Création graphique,20,1272.69,7636.14,PAID,,synthetic
FR_invoice_img_synth_061.png,Nguyen EURL,F-2024-6029,25/06/2024,08489255107227,26/09/2025,Formation professionnelle; Fourniture de matériel; Maintenance annuelle; Création graphique; Installation réseau; Installation réseau,10,10790.86,118699.44,UNPAID,118699.44,synthetic
FR_invoice_img_synth_062.png,Hamon SA,FAC-2025-5833,11/06/2025,94078299315453,25/12/2025,Maintenance annuelle; Fourniture de matériel,20,3257.24,19543.42,PAID,,synthetic
FR_invoice_img_synth_063.png,Maillet SASU,F-2025-8376,09/02/2025,57356973676189,03/11/2025,Installation réseau; Transport de marchandises; Transport de marchandises; Rédaction de contenu,20,7859.69,47158.12,PAID,,synthetic
FR_invoice_img_synth_064.png,Gauthier SARL,F-2025-7629,13/03/2025,40471643364216,14/10/2025,Développement logiciel; Fourniture de matériel; Formation professionnelle; Licence logicielle,5.5,2250.36,43165.94,UNPAID,43165.94,synthetic
FR_invoice_img_synth_065.png,Regnier SCI,F-2025-4044,28/05/2025,29927965977692,06/07/2025,Transport de marchandises; Développement logiciel,10,3063.32,33696.51,UNPAID,33696.51,synthetic
FR_invoice_img_synth_066.png,Teixeira EURL,FC-2026-5996,04/04/2026,12636555123548,26/05/2026,Prestation de conseil; Support technique; Création graphique; Support technique; Transport de marchandises,20,18009.86,108059.14,UNPAID,108059.14,synthetic
FR_invoice_img_synth_067.png,Reynaud EURL,FAC-2025-4860,14/06/2025,91937553250969,04/08/2025,Rédaction de contenu; Formation professionnelle; Hébergement web,20,3936.50,23619.00,UNPAID,23619.00,synthetic
FR_invoice_img_synth_068.png,Aubert SAS,FC-2025-7216,12/07/2025,80744017202781,15/08/2025,Maintenance annuelle; Formation professionnelle; Prestation de conseil; Installation réseau,20,6816.89,40901.36,PAID,,synthetic
FR_invoice_img_synth_069.png,Fabre SAS,F-2025-1134,15/02/2025,53237419467791,20/10/2025,Transport de marchandises; Installation réseau; Prestation de conseil,20,2311.44,13868.65,UNPAID,13868.65,synthetic
FR_invoice_img_real_001.jpg,AOYAMA,T109200,31/03/2026,44418819700016,,1 Repas complet,10; 20,3.40,33.90,PAID,,task2_csv
FR_invoice_img_real_002.jpg,Hyper Carrefour Chalon,00031 00 02 00550383,31/03/2026,99269214500012,,"Gazole 24,03 L @ 2,279 EUR/L",20,9.13,54.76,PAID,,task2_csv
FR_invoice_img_real_003.jpg,Orano Le Prisme,002-001-305604,31/03/2026,,,Petit pain individuel; Conte AOP; Beurre portion x2; Eminence de boeuf,10; 20,1.07,12.84,UNKNOWN,,task2_csv
FR_invoice_img_real_004.jpg,Le Creusot Gare TGV (Effia),25557,31/03/2026,,,Stationnement Tarif 5 (Entree 17:31 / Paiement 22:31),20,0.73,4.40,PAID,,task2_csv
FR_invoice_img_real_005.jpg,La Boucherie Restaurant,134788,29/03/2026,85214583800029,,1664 33CL; Tresor Louchebem; Garniture supplement; Supp sauce,10; 20,4.39,43.50,PAID,,task2_csv
FR_invoice_img_real_006.jpg,Studio Photo Lumiere & Art,SPL-2024-0198,19/04/2024,77789012300234,04/05/2024,Seance photo mariage (4h); Retouches numeriques (x80); Album photo 30x30 cm,20,270.00,1620.00,UNKNOWN,,task2_csv
FR_invoice_img_real_007.jpg,Clinique Dentaire Sourire,CDS-2024-0345,16/04/2024,44456789100223,01/05/2024,Detartrage complet; Soin carie molaire; Radiographie panoramique,20,59.00,354.00,PAID,,task2_csv
FR_invoice_img_real_008.jpg,Chauffage & Climatisation Roux,CCR-2024-0423,25/04/2024,99956789200267,25/05/2024,Installation climatisation reversible; Mise en service et reglages; Garantie extension 3 ans,10,225.00,2475.00,UNKNOWN,,task2_csv
FR_invoice_img_real_009.jpg,Fleuriste Jardin d'Eden,FJE-2024-0087,23/04/2024,66623456700256,08/05/2024,Bouquet mariee rose & pivoine; Decoration florale tables (x8); Composition entree salle,10,82.00,902.00,PAID,,task2_csv
FR_invoice_img_real_011.jpg,Informatique Solutions Pro,ISP-2024-0512,21/04/2024,33390123400245,21/05/2024,Remplacement disque SSD 1To; Reinstallation Windows 11; Sauvegarde donnees (2h); Antivirus licence 1 an,20,78.80,472.80,PAID,,task2_csv
FR_invoice_img_real_013.jpg,Fers et Metaux du Chalonnais,,,,31/03/2026,Corniere S235 JR 120x120x12; Poutrelle S275 JR IPE 270; Rond serrurier S235 JR Diam18; Corniere 25x25x3; TAC tole a chaud 1000x2000x15; Poutrelle UPN 100; Transport; Corniere 80x80x8,20,1309.13,7854.77,UNKNOWN,,task2_csv
FR_invoice_img_real_014.jpg,Wurth Proxi Shop Le Creusot,4330739666,,,25/12/2024,Disques a meuler MEULE EBARBER ZIRCO+ 230x6.4x22.2; Niveau digital IP65 61CM Zebra; Briquet USB electrique (offert); Coupon cadeau,20,136.50,818.98,UNKNOWN,,task2_csv
FR_invoice_real_029.pdf,Epicerie Fine Marchand,EFM-2023-0412,12/11/2023,12378945600178,27/11/2023,Foie gras mi-cuit (4 boites) x6; Confiture artisanale (x12) x12; Huile d'olive AOC (4 flacons) x4,"5,5",19.24,369.04,PAID,,task2_csv
FR_invoice_real_030.pdf,Atelier Couture & Retouches Blondel,ACR-2023-1205,05/12/2023,55534567900169,20/12/2023,Retouche robe de mariee; Ourlet pantalon (x3); Remplacement fermeture eclair,20,50.00,300.00,PAID,,task2_csv
FR_invoice_real_031.pdf,Garage Mecanique Verdier,GMV-2023-0789,28/10/2023,88801234600190,12/11/2023,Vidange + filtre huile; Remplacement plaquettes frein AV; Main d'oeuvre revision (3h); Pneumatiques 195/65 R15 (x2),20,121.20,727.20,UNKNOWN,,task2_csv
FR_invoice_real_032.pdf,Ecole de Musique Harmonie,EMH-2024-0023,08/01/2024,33345678900201,08/02/2024,Cours de piano - trimestre 1 (x12 seances); Location salle de repetition (x4h); Partition recueil Bach,20,127.70,766.20,PAID,,task2_csv
FR_invoice_real_033.pdf,Paysagiste Terrain Vert EURL,PTV-2024-0156,22/02/2024,66612890100212,08/03/2024,Tonte pelouse + ramassage (x4 passages); Taille haies et arbustes; Plantation massif fleuri (x15 plants); Evacuation dechets verts,10,73.50,808.50,UNKNOWN,,task2_csv
FR_invoice_real_001.pdf,Burger King,,21/05/2026,,,Chocolat chaud; Muffin Chocolat; Whopper,10,1.97,21.70,PAID,,hand_read
FR_invoice_real_002.pdf,Aoyama,,04/05/2026,44418819700016,,1 Repas complet,10; 20,3.17,31.40,PAID,,hand_read
FR_invoice_real_003.pdf,Station Leclerc Chalondis Sud,,04/05/2026,,,SP95-E10,20,3.38,20.31,PAID,,hand_read
FR_invoice_real_004.pdf,La Poste,53412,07/05/2026,,,1 LETTRE RECO R1 AR,0,0.00,8.43,PAID,,hand_read
FR_invoice_real_005.pdf,La Smeralda,,01/05/2026,49114518900516,,Panna Framboise; Margherita; Piece du Boucher; Pinot; Grand Creme,10; 20,3.41,52.00,PAID,,hand_read
FR_invoice_real_006.pdf,Carrefour Chalon Sud,,01/05/2026,45132135501963,,Gazole+,20,12.13,72.75,PAID,,hand_read
FR_invoice_real_007.pdf,Prolavage Chalon,0038990,01/05/2026,,,Forfait Prolavage +1 jeton offert,20,5.00,30.00,PAID,,hand_read
FR_invoice_real_008.pdf,Le Festin,,04/05/2026,,,6 Repas Complet,10,7.64,84.00,PAID,,hand_read
FR_invoice_real_009.pdf,Action,,07/05/2026,,,Poubelle 5 L Inox,20,12.95,77.70,PAID,,hand_read
FR_invoice_real_010.pdf,L'Enzo,,02/05/2026,,,2 repas,10; 20,3.97,38.10,PAID,,hand_read
FR_invoice_real_011.pdf,Supeco,,03/05/2026,,,Courses alimentaires,5.5,2.75,52.92,PAID,,hand_read
FR_invoice_real_012.pdf,Intermarché Givry,,29/04/2026,,,SP95-E10,20,16.67,100.01,PAID,,hand_read
FR_invoice_real_013.pdf,Bricomarché,,29/04/2026,,,Tab Pin Elliott 18x30,20,11.66,69.95,PAID,,hand_read
FR_invoice_real_014.pdf,La Boucherie,,29/04/2026,85214383800029,,8 Repas Complet,10,13.90,152.90,UNKNOWN,,hand_read
FR_invoice_real_015.pdf,APRR,,11/04/2026,01625002900306,,Péage Tournus - Chalon Sud,20,0.35,2.10,PAID,,hand_read
FR_invoice_real_016.pdf,RATP,,07/04/2026,,,9 Métro-Train-RER Zones 1 à 5,10,2.09,22.95,PAID,,hand_read
FR_invoice_real_017.pdf,SARL Brysse - Station Avia,,04/04/2026,,,Aviagel Universel 5L,20,8.50,51.00,PAID,,hand_read
FR_invoice_real_018.pdf,Enilive France,987101649605,11/04/2026,,,Snickers 50G; Twix 50G; Diesel Tech,20; 5.5,8.77,53.50,PAID,,hand_read
FR_invoice_real_019.pdf,Le Restaurant du Château,4500000010005731,27/03/2026,53175124000012,,Repas complet(s),10; 20,16.74,137.50,UNKNOWN,,hand_read
FR_invoice_real_020.pdf,Auchan Chatillon,,24/03/2026,,,Signal Int8 Dent HA; Hollywood Gum Menth,20,1.23,7.36,PAID,,hand_read
FR_invoice_real_021.pdf,Boulangerie Copaline,,26/03/2026,83498542800016,,Croissant; Muffin; Pain au Chocolat; Jalousie; Cookie,5.5,0.65,12.50,PAID,,hand_read
FR_invoice_real_022.pdf,Patachoux,,24/03/2026,52398626700014,,Croque Monsieur Jambon; Formule Orange; Focaccia Garnie; Effiloché Porc Mariné,10,6.63,72.90,PAID,,hand_read
FR_invoice_real_023.pdf,Aldi,,19/03/2026,44329334000977,,Eau Min Riche HG 1L; WD 40 Huile 100ml; Mentos Gum Bottles 100g,5.5; 20,1.20,10.06,PAID,,hand_read
FR_invoice_real_024.pdf,Le Festin,,23/03/2026,,,6 Repas Complet,10,9.16,100.80,PAID,,hand_read
FR_invoice_real_025.pdf,Patachoux,,23/03/2026,53368626700014,,Grand Café; Boisson 25 CL; Pain au Chocolat pur beurre; Chausson aux Pommes,5.5,0.95,18.20,PAID,,hand_read
FR_invoice_real_026.pdf,Pressing Press-Eco,,14/03/2026,,,Abonnement Costume,20,10.50,63.00,PAID,,hand_read
FR_invoice_real_027.pdf,Dyneff Saulce,,11/03/2026,30580099701000,,Badoit Pet 50cl; Oasis Tea Mangue Pas,5.5,0.20,3.95,PAID,,hand_read
FR_invoice_real_028.pdf,TotalEnergies,,08/03/2026,30691609902309,,AdBlue (6.80 L),20,0.79,4.71,PAID,,hand_read
FR_invoice_real_034.pdf,BRICORAMA FRANCE,PBREDI1106000240,,40668031401116,06/09/2018,,20,20.00,120.00,UNKNOWN,120.00,chorus_parsed
FR_invoice_real_035.pdf,ASSOCIATION DE TOURISME PAKEREKAKINA,PDBEDI1106000110,,886978001,,,,,120.00,UNKNOWN,120.00,chorus_parsed
FR_invoice_real_036.pdf,BRICORAMA FRANCE,PDBEDI1106000116,,40668031401116,06/09/2018,,20,20.00,120.00,UNKNOWN,-120.00,chorus_parsed
