Invoice,Field,Extracted,Ground Truth,Match
FR_invoice_img_real_004,siret,38792128101407,,NO
FR_invoice_img_real_004,invoice_content,[],Stationnement Tarif 5 (Entree 17:31 / Paiement 22:31),NO
FR_invoice_img_real_004,tva_percentage,,20,NO
FR_invoice_img_real_004,tva_amount,,0.73,NO
FR_invoice_img_real_004,total_amount,,4.40,NO
FR_invoice_img_real_004,payment_status,PAID,PAID,YES
FR_invoice_img_real_005,supplier_name,LA BOUCITERIE,La Boucherie Restaurant,YES
FR_invoice_img_real_005,invoice_number,,134788,NO
FR_invoice_img_real_005,invoice_date,,29/03/2026,NO
FR_invoice_img_real_005,siret,,85214583800029,NO
FR_invoice_img_real_005,invoice_content,[],1664 33CL; Tresor Louchebem; Garniture supplement; Supp sauce,NO
FR_invoice_img_real_005,tva_percentage,,10; 20,NO
FR_invoice_img_real_005,tva_amount,,4.39,NO
FR_invoice_img_real_005,total_amount,43.50,43.50,YES
FR_invoice_img_real_005,payment_status,UNKNOWN,PAID,NO
FR_invoice_img_real_006,supplier_name,Studio Photo Lumière & Art,Studio Photo Lumiere & Art,YES
FR_invoice_img_real_006,invoice_number,SPL-2024-0198,SPL-2024-0198,YES
FR_invoice_img_real_006,invoice_date,19/04/2024,19/04/2024,YES
FR_invoice_img_real_006,siret,77789012300234,77789012300234,YES
FR_invoice_img_real_006,echeance,04/05/2024,04/05/2024,YES
FR_invoice_img_real_006,invoice_content,[],Seance photo mariage (4h); Retouches numeriques (x80); Album photo 30x30 cm,NO
FR_invoice_img_real_006,tva_percentage,20,20,YES
FR_invoice_img_real_006,tva_amount,270.00,270.00,YES
FR_invoice_img_real_006,total_amount,1620.00,1620.00,YES
FR_invoice_img_real_006,payment_status,UNKNOWN,UNKNOWN,YES
FR_invoice_img_real_007,supplier_name,Clinique Dentaire Sourire - FACTURE,Clinique Dentaire Sourire,YES
FR_invoice_img_real_007,invoice_number,CDS-2024-0345,CDS-2024-0345,YES
FR_invoice_img_real_007,invoice_date,16/04/2024,16/04/2024,YES
FR_invoice_img_real_007,siret,44456789100223,44456789100223,YES
FR_invoice_img_real_007,echeance,01/05/2024,01/05/2024,YES
FR_invoice_img_real_007,invoice_content,"[{'description': 'Détartrage Complet', 'quantity': '', 'unit_price': ''}, {'description': 'Soin carie molaire', 'quantity': '', 'unit_price': ''}, {'description': 'Radiographie Panoramique', 'quantity': '', 'unit_price': ''}]",Detartrage complet; Soin carie molaire; Radiographie panoramique,YES
FR_invoice_img_real_007,tva_percentage,20,20,YES
FR_invoice_img_real_007,tva_amount,59.00,59.00,YES
FR_invoice_img_real_007,total_amount,354.00,354.00,YES
FR_invoice_img_real_007,payment_status,UNKNOWN,PAID,NO
FR_invoice_img_real_008,supplier_name,SCI Leë Alpes Immobilier,Chauffage & Climatisation Roux,NO
FR_invoice_img_real_008,invoice_number,CCR-2024-0423,CCR-2024-0423,YES
FR_invoice_img_real_008,invoice_date,25/04/2024,25/04/2024,YES
FR_invoice_img_real_008,siret,,99956789200267,NO
FR_invoice_img_real_008,echeance,25/05/2024,25/05/2024,YES
FR_invoice_img_real_008,invoice_content,[],Installation climatisation reversible; Mise en service et reglages; Garantie extension 3 ans,NO
FR_invoice_img_real_008,tva_percentage,10,10,YES
FR_invoice_img_real_008,tva_amount,225.00,225.00,YES
FR_invoice_img_real_008,total_amount,,2475.00,NO
FR_invoice_img_real_008,payment_status,UNKNOWN,UNKNOWN,YES
FR_invoice_img_real_009,supplier_name,Fleuriste Jardin d'Éden | FACTURE,Fleuriste Jardin d'Eden,YES
FR_invoice_img_real_009,invoice_number,FJE-2024-0087,FJE-2024-0087,YES
FR_invoice_img_real_009,invoice_date,23/04/2024,23/04/2024,YES
FR_invoice_img_real_009,siret,66623456700256,66623456700256,YES
FR_invoice_img_real_009,echeance,08/05/2024,08/05/2024,YES
FR_invoice_img_real_009,invoice_content,[],Bouquet mariee rose & pivoine; Decoration florale tables (x8); Composition entree salle,NO
FR_invoice_img_real_009,tva_percentage,10,10,YES
FR_invoice_img_real_009,tva_amount,,82.00,NO
FR_invoice_img_real_009,total_amount,902.00,902.00,YES
FR_invoice_img_real_009,payment_status,PAID,PAID,YES
FR_invoice_img_real_010,supplier_name,Numéro Date Code client / Date échéance Mode de règlement N° de Tva intracom,,NO
FR_invoice_img_real_010,invoice_number,FC20251175,FC20251175,YES
FR_invoice_img_real_010,invoice_date,28/04/2025,28/04/2025,YES
FR_invoice_img_real_010,echeance,,28/05/2025,NO
FR_invoice_img_real_010,invoice_content,"[{'description': 'Qté PUHT MontantHT TVA', 'quantity': '.', 'unit_price': '.'}, {'description': '| AUDIT INITIAL ISO Etape & Etape °', 'quantity': '2772.67.', 'unit_price': '20.00'}, {'description': '| Î', 'quantity': '', 'unit_price': ''}, {'description': '‘IMPORTANT :', 'quantity': '', 'unit_price': ''}, {'description': ""‘ Le règlement doit intervenir dès réception de la facture Ce n'est qu'à partir : |"", 'quantity': '', 'unit_price': '.'}, {'description': ""de cette étape que la prestation débutera ' :"", 'quantity': '', 'unit_price': '.'}, {'description': 'Certification ISO version !', 'quantity': '589.38', 'unit_price': '20.00'}, {'description': '{ l', 'quantity': '', 'unit_price': ''}, {'description': 'AUDIT INITIAL ISO Etape & Etape l |', 'quantity': '1', 'unit_price': '2'}, {'description': 'IMPORTANT : | |', 'quantity': '', 'unit_price': ''}, {'description': ""| Le règlement doit intervenir dès réception de la facture Ce n'est qu'à partir"", 'quantity': '', 'unit_price': '.'}, {'description': 'de cette étape que la prestation débutera', 'quantity': '', 'unit_price': '.'}, {'description': '; TXT Selon les termes du contrat n° -', 'quantity': '443', 'unit_price': '.'}, {'description': '| Dossier Q |', 'quantity': '', 'unit_price': '426'}, {'description': 'l ; i', 'quantity': '', 'unit_price': ''}, {'description': '| | |', 'quantity': '', 'unit_price': ''}, {'description': 'Le opérations donnant lieu à facture sont constituées exclusivement de prestations de services', 'quantity': '', 'unit_price': ''}, {'description': 'ticipé : % ue uno ue', 'quantity': '0', 'unit_price': '.'}, {'description': ""Escompie po EE Paiement Une pénalité égale à fois le tau d'intérêt légal sera eigible ainsi qu'une indemnité forfaitaire pour"", 'quantity': '3', 'unit_price': '.'}, {'description': ""fais de recouvrement d'un montant minimum de euros pour les professionnels"", 'quantity': '', 'unit_price': '40'}]",AUDIT INITIAL ISO 19443 Etape 1 & Etape 2; Certification ISO 9001 version 2015,NO
FR_invoice_img_real_010,tva_percentage,20.00,20,NO
FR_invoice_img_real_010,tva_amount,20.00,672.41,NO
FR_invoice_img_real_010,total_amount,4034,4034.46,NO
FR_invoice_img_real_010,payment_status,UNKNOWN,UNPAID,NO
FR_invoice_img_real_010,solde_du,,4034.46,NO
FR_invoice_img_real_011,supplier_name,Informatique Solutions Pro FACTURE,Informatique Solutions Pro,YES
FR_invoice_img_real_011,invoice_number,,ISP-2024-0512,NO
FR_invoice_img_real_011,invoice_date,21/04/2024,21/04/2024,YES
FR_invoice_img_real_011,siret,33390123400245,33390123400245,YES
FR_invoice_img_real_011,echeance,21/05/2024,21/05/2024,YES
FR_invoice_img_real_011,invoice_content,[],Remplacement disque SSD 1To; Reinstallation Windows 11; Sauvegarde donnees (2h); Antivirus licence 1 an,NO
FR_invoice_img_real_011,tva_percentage,20,20,YES
FR_invoice_img_real_011,tva_amount,78.80,78.80,YES
FR_invoice_img_real_011,total_amount,472.80,472.80,YES
FR_invoice_img_real_011,payment_status,PAID,PAID,YES
FR_invoice_img_real_012,supplier_name,FRANCE,,NO
FR_invoice_img_real_012,invoice_date,08/09/2025,,NO
FR_invoice_img_real_012,echeance,,15/11/2025,NO
FR_invoice_img_real_012,invoice_content,[],"SCIE RADIALE 1800W D355MM MKAS35 +2 LAMES; LAME SCIE D355X25,4X2,2MM 66 DTS ACIER; LAME SCIE D355X25,4X2,2MM 66 DTS ACIER",NO
FR_invoice_img_real_012,tva_percentage,,20,NO
FR_invoice_img_real_012,payment_status,UNKNOWN,UNKNOWN,YES
FR_invoice_img_real_013,supplier_name,Référence Désignation Qté Px unitaire Montant HT *,Fers et Metaux du Chalonnais,NO
FR_invoice_img_real_013,invoice_date,31/03/26,,NO
FR_invoice_img_real_013,echeance,,31/03/2026,NO
FR_invoice_img_real_013,invoice_content,"[{'description': 'Qté Px unitaire', 'quantity': '', 'unit_price': ''}]",Corniere S235 JR 120x120x12; Poutrelle S275 JR IPE 270; Rond serrurier S235 JR Diam18; Corniere 25x25x3; TAC tole a chaud 1000x2000x15; Poutrelle UPN 100; Transport; Corniere 80x80x8,NO
FR_invoice_img_real_013,tva_percentage,,20,NO
FR_invoice_img_real_013,tva_amount,,1309.13,NO
FR_invoice_img_real_013,total_amount,,7854.77,NO
FR_invoice_img_real_013,payment_status,UNKNOWN,UNKNOWN,YES
FR_invoice_img_real_014,supplier_name,Pos. liv. Désignation Article,Wurth Proxi Shop Le Creusot,NO
FR_invoice_img_real_014,invoice_number,4330739666,4330739666,YES
FR_invoice_img_real_014,echeance,,25/12/2024,NO
FR_invoice_img_real_014,invoice_content,"[{'description': 'Article', 'quantity': '', 'unit_price': ''}, {'description': 'EUR', 'quantity': '', 'unit_price': ''}, {'description': 'Votre pos Origine / N° tarif douanier', 'quantity': '', 'unit_price': '.'}, {'description': 'UP Montant net', 'quantity': '', 'unit_price': ''}, {'description': 'EUR', 'quantity': '', 'unit_price': ''}, {'description': 'Disques à meuler Polds brut KG', 'quantity': '3', 'unit_price': '1255'}, {'description': 'MEULE EBARBER ZIRCO+ X X |', 'quantity': '22.2', 'unit_price': '.'}, {'description': 'DEP', 'quantity': '', 'unit_price': ''}, {'description': 'Niveau électroniques sonores Poids brut KG', 'quantity': '40', 'unit_price': '1.130'}, {'description': 'NIVEAU DIGITAL P CM', 'quantity': '65', 'unit_price': '61'}, {'description': 'ZEBRA', 'quantity': '', 'unit_price': ''}, {'description': 'Numéro da série NO', 'quantity': '', 'unit_price': ''}, {'description': 'WAG', 'quantity': '1', 'unit_price': '0.00'}, {'description': 'Briquet Poidsbrut KG', 'quantity': '50', 'unit_price': '0.036'}, {'description': 'BRIQUET USB ELECTRIQUE', 'quantity': '', 'unit_price': ''}, {'description': 'Offert', 'quantity': '', 'unit_price': ''}, {'description': 'Offre commerciale de réduction', 'quantity': '', 'unit_price': ''}, {'description': 'Coupon Cadeau Palier Mag Novembre', 'quantity': '1', 'unit_price': '2024'}, {'description': 'D —_—————', 'quantity': '', 'unit_price': ''}, {'description': 'Poids total KG', 'quantity': '', 'unit_price': '3.641'}, {'description': 'Mont de base Tau TVA Montant TVA Montant net', 'quantity': '.', 'unit_price': '682.48'}, {'description': 'Code EUR EUR TVA', 'quantity': '', 'unit_price': '136.50'}, {'description': 'A %', 'quantity': '20,00', 'unit_price': '136.50'}, {'description': 'Montant TTC en EUR', 'quantity': '', 'unit_price': '818.98'}, {'description': 'Vos conditions de règlement:', 'quantity': '', 'unit_price': ''}, {'description': 'JOURS', 'quantity': '', 'unit_price': '30'}, {'description': ""Sans esc jusqu'au s /"", 'quantity': '25.1', 'unit_price': '2.2024'}, {'description': 'Mode de paiement: Traite directe \\j re me', 'quantity': '', 'unit_price': ''}, {'description': 'Votre magasin', 'quantity': '', 'unit_price': ''}, {'description': 'WURTH PROXI SHOP LE CREUSOT RUE JEAN VILAR TORCY', 'quantity': ',', 'unit_price': '71210.'}, {'description': ""mcm l'ion rhum hmmlonms du"", 'quantity': '', 'unit_price': ''}, {'description': 'sememb mEt LE', 'quantity': '', 'unit_price': ''}]",Disques a meuler MEULE EBARBER ZIRCO+ 230x6.4x22.2; Niveau digital IP65 61CM Zebra; Briquet USB electrique (offert); Coupon cadeau,NO
FR_invoice_img_real_014,tva_percentage,,20,NO
FR_invoice_img_real_014,tva_amount,,136.50,NO
FR_invoice_img_real_014,total_amount,,818.98,NO
FR_invoice_img_real_014,payment_status,UNKNOWN,UNKNOWN,YES
FR_invoice_img_real_015,supplier_name,Numéro Date Code client Date échéance,,NO
FR_invoice_img_real_015,invoice_number,FC20251175,FC20251175,YES
FR_invoice_img_real_015,invoice_date,28/04/2025,28/04/2025,YES
FR_invoice_img_real_015,echeance,,28/05/2025,NO
FR_invoice_img_real_015,invoice_content,"[{'description': '| AUDIT INITIAL SO Etape & Etape', 'quantity': '1', 'unit_price': '2'}, {'description': 'IMPORTANT :', 'quantity': '', 'unit_price': ''}, {'description': ""‘ Le règlement doit intervenir dès réception de la facture Ce n'est qu'à partir"", 'quantity': '.', 'unit_price': '.'}, {'description': '‘de cette étape que la prestation débutera', 'quantity': '', 'unit_price': '.'}, {'description': 'Certification ISO version', 'quantity': '9001', 'unit_price': '2015'}, {'description': 'AUDIT INITIAL ISO Etape & Etape', 'quantity': '1', 'unit_price': '2'}, {'description': 'IMPORTANT :', 'quantity': '', 'unit_price': ''}, {'description': 'Mode de règlement', 'quantity': '', 'unit_price': ''}, {'description': 'VIREMENT j net', 'quantity': '', 'unit_price': '30'}, {'description': 'Qté PU HT', 'quantity': '.', 'unit_price': '.'}, {'description': ""| Le règlement doit intervenir dès réception de la facture Ce n'est qu'à partir"", 'quantity': '', 'unit_price': '.'}, {'description': '| de cette étape que la prestation débutera', 'quantity': '', 'unit_price': '.'}, {'description': 'TXT | Selon les termes du contrat n° -', 'quantity': '25', 'unit_price': '443'}, {'description': 'Dossier Q', 'quantity': '', 'unit_price': '426'}, {'description': 'Les opérations donnant lieu à facture sont constituées exclusivement de prestations de services', 'quantity': '', 'unit_price': ''}, {'description': 'Escompte pour règlement anticipé : %', 'quantity': '', 'unit_price': '0'}, {'description': 'En cas de retard de p', 'quantity': '', 'unit_price': ''}, {'description': 'frais de recouvrement', 'quantity': '', 'unit_price': ''}, {'description': 'ordonnées bancaire', 'quantity': '', 'unit_price': ''}, {'description': 'Banque : CL', 'quantity': '', 'unit_price': ''}, {'description': 'RIB :', 'quantity': '', 'unit_price': '30002016490000070962134'}, {'description': 'IBAN : FR', 'quantity': '', 'unit_price': '4320002016490000070962134'}, {'description': 'BIC: CRLYFRPP', 'quantity': '', 'unit_price': ''}]",AUDIT INITIAL ISO 19443 Etape 1 & Etape 2; Certification ISO 9001 version 2015,NO
FR_invoice_img_real_015,tva_percentage,20.00,20,NO
FR_invoice_img_real_015,tva_amount,20.00,672.41,NO
FR_invoice_img_real_015,total_amount,,4034.46,NO
FR_invoice_img_real_015,payment_status,UNKNOWN,UNPAID,NO
FR_invoice_img_real_015,solde_du,,4034.46,NO
FR_invoice_img_real_016,supplier_name,RélOlEnCes DésIdnationiNotes © atéunité ! PrixNet | UT L MEHT,,NO
FR_invoice_img_real_016,echeance,,15/11/2025,NO
FR_invoice_img_real_016,tva_percentage,0.00,20,NO
FR_invoice_img_real_016,tva_amount,419.80,419.80,YES
FR_invoice_img_real_016,total_amount,2518.81,2518.81,YES
FR_invoice_img_real_016,payment_status,UNKNOWN,UNKNOWN,YES
FR_invoice_img_real_017,supplier_name,"Zone Logistique Ford,",Transport Frigorifique Marchand,NO
FR_invoice_img_real_017,invoice_number,TFM-2024 0456,TFM-2024-0456,NO
FR_invoice_img_real_017,invoice_date,28/05/2024,28/05/2024,YES
FR_invoice_img_real_017,siret,77745678900390,77745678900390,YES
FR_invoice_img_real_017,echeance,28/06/2024,28/06/2024,YES
FR_invoice_img_real_017,invoice_content,[],Transport réfrigéré Lille-Paris (×3 trajets); Assurance marchandise périssable; Supplément week-end,NO
FR_invoice_img_real_017,tva_percentage,20,20,YES
FR_invoice_img_real_017,tva_amount,221.00,221.00,YES
FR_invoice_img_real_017,total_amount,1326.00,1326.00,YES
FR_invoice_img_real_017,payment_status,UNKNOWN,UNKNOWN,YES
FR_invoice_img_real_018,supplier_name,(5 jours),Institut de Formation Continue Lyon,NO
FR_invoice_img_real_018,invoice_number,,IFC-2024-0078,NO
FR_invoice_img_real_018,invoice_date,06/06/2024,06/06/2024,YES
FR_invoice_img_real_018,siret,77789012700490,77789012700490,YES
FR_invoice_img_real_018,echeance,,06/07/2024,NO
FR_invoice_img_real_018,invoice_content,[],Formation Gestion d'Entreprise (5 jours); Support de cours et documentation; Attestation et certification,NO
FR_invoice_img_real_018,tva_percentage,,20,NO
FR_invoice_img_real_018,tva_amount,,545.00,NO
FR_invoice_img_real_018,total_amount,,3270.00,NO
FR_invoice_img_real_018,payment_status,UNKNOWN,PAID,NO
FR_invoice_img_real_019,supplier_name,Boulangerie Maison Renard,Boulangerie Maison Renard,YES
FR_invoice_img_real_019,invoice_number,,BMR-2024-0601,NO
FR_invoice_img_real_019,invoice_date,02/06/2024,01/06/2024,NO
FR_invoice_img_real_019,siret,11134567800478,11134567800478,YES
FR_invoice_img_real_019,echeance,16/06/2024,16/06/2024,YES
FR_invoice_img_real_019,invoice_content,"[{'description': 'BON DE FACTURATION', 'quantity': '', 'unit_price': ''}, {'description': '// | Échéance : //', 'quantity': '06', 'unit_price': '2024'}, {'description': 'É BMR-- | Date :', 'quantity': '2024', 'unit_price': '0601'}, {'description': 'CONSOMMATEUR', 'quantity': '', 'unit_price': ''}, {'description': 'M Pascal Giraud', 'quantity': '', 'unit_price': '.'}, {'description': 'Paris Épicerie Fine du Quartier', 'quantity': '', 'unit_price': ''}, {'description': 'Rue de Buci Paris', 'quantity': ',', 'unit_price': '75006'}, {'description': 'QTÉ PRIX U HT', 'quantity': '', 'unit_price': '.'}]",Pain au levain (×20 kg); Viennoiseries mixtes (×100); Gâteaux sur commande (×3),NO
FR_invoice_img_real_019,tva_percentage,,5.5,NO
FR_invoice_img_real_019,tva_amount,,32.84,NO
FR_invoice_img_real_019,total_amount,,629.84,NO
FR_invoice_img_real_019,payment_status,UNKNOWN,PAID,NO
FR_invoice_img_real_020,supplier_name,gite,Taxi & Transfert Moreau,NO
FR_invoice_img_real_020,invoice_number,,TTM-2024-1456,NO
FR_invoice_img_real_020,invoice_date,,08/06/2024,NO
FR_invoice_img_real_020,siret,,33356789500501,NO
FR_invoice_img_real_020,echeance,,23/06/2024,NO
FR_invoice_img_real_020,invoice_content,[],Transfert aéroport CDG (×5 courses); Mise à disposition journée (8h); Supplément bagages,NO
FR_invoice_img_real_020,tva_percentage,,10,NO
FR_invoice_img_real_020,tva_amount,,89.00,NO
FR_invoice_img_real_020,total_amount,,979.00,NO
FR_invoice_img_real_020,payment_status,UNKNOWN,PAID,NO
FR_invoice_img_real_021,supplier_name,Rénovation Habitat Duval SARL,Rénovation Habitat Duval SARL,YES
FR_invoice_img_real_021,invoice_number,,RHD-2024-0389,NO
FR_invoice_img_real_021,invoice_date,,10/06/2024,NO
FR_invoice_img_real_021,siret,66623567800512,66623567800512,YES
FR_invoice_img_real_021,echeance,,10/07/2024,NO
FR_invoice_img_real_021,invoice_content,[],Ravalement façade 20m; Isolation thermique extérieure; Échafaudage location (3 semaines); Nettoyage et évacuation,NO
FR_invoice_img_real_021,tva_percentage,10,10,YES
FR_invoice_img_real_021,tva_amount,989.00,939.00,NO
FR_invoice_img_real_021,total_amount,10329.00,10329.00,YES
FR_invoice_img_real_021,payment_status,UNKNOWN,UNPAID,NO
FR_invoice_img_real_021,solde_du,,7230.30,NO
FR_invoice_img_real_022,supplier_name,CABINET JURIDIQUE FONTAINE,Cabinet Juridique Fontaine,YES
FR_invoice_img_real_022,invoice_number,,CJF-2024-0234,NO
FR_invoice_img_real_022,invoice_date,03/06/2024,03/06/2024,YES
FR_invoice_img_real_022,siret,44478901300489,44478901300489,YES
FR_invoice_img_real_022,echeance,03/06/2024,03/07/2024,NO
FR_invoice_img_real_022,invoice_content,[],Rédaction contrat travail CDI; Consultation droit commercial (2h); Dossier contentieux — phase 1,NO
FR_invoice_img_real_022,tva_percentage,20,20,YES
FR_invoice_img_real_022,tva_amount,,560.00,NO
FR_invoice_img_real_022,total_amount,,3360.00,NO
FR_invoice_img_real_022,payment_status,UNKNOWN,UNKNOWN,YES
FR_invoice_img_real_023,supplier_name,,Cabinet Comptable Girard & Associés,NO
FR_invoice_img_real_023,invoice_number,,CGA-2024-0178,NO
FR_invoice_img_real_023,invoice_date,,08/05/2024,NO
FR_invoice_img_real_023,siret,,88834567900290,NO
FR_invoice_img_real_023,echeance,,08/06/2024,NO
FR_invoice_img_real_023,invoice_content,[],Bilan comptable annuel 2023; Déclaration TVA trimestrielle (×4); Conseil fiscal — 3 séances,NO
FR_invoice_img_real_023,tva_percentage,,20,NO
FR_invoice_img_real_023,tva_amount,,730.00,NO
FR_invoice_img_real_023,total_amount,,4380.00,NO
FR_invoice_img_real_023,payment_status,UNKNOWN,PAID,NO
FR_invoice_img_real_024,supplier_name,optique centrale Leclerc,Optique Centrale Leclerc,YES
FR_invoice_img_real_024,invoice_number,ocL-2024-0623,OCL-2024-0623,YES
FR_invoice_img_real_024,invoice_date,10/05/2024,10/05/2024,YES
FR_invoice_img_real_024,siret,33378901200301,33378901200301,YES
FR_invoice_img_real_024,echeance,25/05/2024,25/05/2024,YES
FR_invoice_img_real_024,invoice_content,"[{'description': 'Montures Ralph Lauren modèle', 'quantity': '', 'unit_price': '456'}, {'description': 'Verres progressifs anti-reflets ()', 'quantity': '', 'unit_price': '2'}, {'description': 'Étui et chiffon inclus', 'quantity': '', 'unit_price': ''}]",Montures Ralph Lauren modèle 456; Verres progressifs anti-reflets (×2); Étui et chiffon inclus,YES
FR_invoice_img_real_024,tva_percentage,20,20,YES
FR_invoice_img_real_024,tva_amount,124.60,124.60,YES
FR_invoice_img_real_024,total_amount,747.60,747.60,YES
FR_invoice_img_real_024,payment_status,PAID,PAID,YES
FR_invoice_img_real_025,supplier_name,Invest Immobilier SARL,Agence Immobilière Soleil,NO
FR_invoice_img_real_025,invoice_number,AIS-2024-0089,AIS-2024-0089,YES
FR_invoice_img_real_025,invoice_date,12/05/2024,12/05/2024,YES
FR_invoice_img_real_025,siret,66690123400312,66690123400312,YES
FR_invoice_img_real_025,echeance,12/06/2024,12/06/2024,YES
FR_invoice_img_real_025,invoice_content,[],Honoraires location appartement T3; État des lieux entrée; Rédaction bail 3 ans,NO
FR_invoice_img_real_025,tva_percentage,20,20,YES
FR_invoice_img_real_025,tva_amount,360.00,360.00,YES
FR_invoice_img_real_025,total_amount,2160.00,2160.00,YES
FR_invoice_img_real_025,payment_status,PAID,PAID,YES
FR_invoice_img_real_026,supplier_name,Pharmacie du Vieux-Port,Pharmacie du Vieux-Port,YES
FR_invoice_img_real_026,invoice_number,PVP-2024-0934,PVP-2024-0934,YES
FR_invoice_img_real_026,invoice_date,14/05/2024,14/05/2024,YES
FR_invoice_img_real_026,siret,99912345500323,99912345500323,YES
FR_invoice_img_real_026,echeance,29/05/2024,29/05/2024,YES
FR_invoice_img_real_026,invoice_content,[],Médicaments ordonnance — lot 1; Vitamines complexe B (×2 boîtes); Pansements et antiseptique,NO
FR_invoice_img_real_026,tva_percentage,5.5,5.5,YES
FR_invoice_img_real_026,tva_amount,5.07,5.07,YES
FR_invoice_img_real_026,total_amount,97.17,97.17,YES
FR_invoice_img_real_026,payment_status,PAID,PAID,YES
FR_invoice_img_real_027,supplier_name,Traiteur Oriental Benali,Traiteur Oriental Benali,YES
FR_invoice_img_real_027,invoice_number,TOB-2024-0267,TOB-2024-0267,YES
FR_invoice_img_real_027,invoice_date,16/05/2024,16/05/2024,YES
FR_invoice_img_real_027,siret,44445678900334,44445678900334,YES
FR_invoice_img_real_027,echeance,31/05/2024,31/05/2024,YES
FR_invoice_img_real_027,invoice_content,"[{'description': 'Couscous royal ( Portions)', 'quantity': '', 'unit_price': '40'}, {'description': 'Pastilla au Poulet ()', 'quantity': '', 'unit_price': '20'}, {'description': 'Desserts orientaux assortiment', 'quantity': '', 'unit_price': ''}, {'description': 'Service et livraison', 'quantity': '', 'unit_price': ''}]",Couscous royal (×40 portions); Pastilla au poulet (×20); Desserts orientaux assortiment; Service et livraison,YES
FR_invoice_img_real_027,tva_percentage,10,10,YES
FR_invoice_img_real_027,tva_amount,81.50,81.50,YES
FR_invoice_img_real_027,total_amount,896.50,896.50,YES
FR_invoice_img_real_027,payment_status,UNKNOWN,UNKNOWN,YES
FR_invoice_img_real_028,supplier_name,École de Conduite Liberté FACTURE,École de Conduite Liberté,YES
FR_invoice_img_real_028,invoice_number,ECL-2024-0445,ECL-2024-0445,YES
FR_invoice_img_real_028,invoice_date,18/05/2024,18/05/2024,YES
FR_invoice_img_real_028,siret,77756789000345,77756789000345,YES
FR_invoice_img_real_028,echeance,18/06/2024,18/06/2024,YES
FR_invoice_img_real_028,invoice_content,[],Forfait 20h conduite accompagnée; Examen code de la route; Frais examen préfecture,NO
FR_invoice_img_real_028,tva_percentage,20,20,YES
FR_invoice_img_real_028,tva_amount,159.00,159.00,YES
FR_invoice_img_real_028,total_amount,954.00,954.00,YES
FR_invoice_img_real_028,payment_status,PAID,PAID,YES
FR_invoice_img_real_029,supplier_name,Électricité Générale Renaud,Électricité Générale Renaud,YES
FR_invoice_img_real_029,invoice_number,EGR-2024-0334,EGR-2024-0334,YES
FR_invoice_img_real_029,invoice_date,24/05/2024,24/05/2024,YES
FR_invoice_img_real_029,siret,99978901300378,99978901300378,YES
FR_invoice_img_real_029,echeance,08/06/2024,08/06/2024,YES
FR_invoice_img_real_029,invoice_content,"[{'description': 'CAblage tableau électrique phases', 'quantity': '', 'unit_price': '3'}, {'description': 'Installation prises industrielles ()', 'quantity': '', 'unit_price': '8'}, {'description': ""Main d'œuvre (h)"", 'quantity': '', 'unit_price': '10'}]",Câblage tableau électrique 3 phases; Installation prises industrielles (×8); Main d'œuvre (10h); Certificat conformité Consuel,YES
FR_invoice_img_real_029,tva_percentage,20,20,YES
FR_invoice_img_real_029,tva_amount,1,482.00,NO
FR_invoice_img_real_029,total_amount,2892.00,2892.00,YES
FR_invoice_img_real_029,payment_status,UNKNOWN,PAID,NO
